seed,layer,shape,num_elements,keras_mean,pytorch_mean,keras_std,pytorch_std,keras_norm,pytorch_norm,norm_ratio,mean_abs_diff,median_abs_diff,max_abs_diff,mse,rmse,l2_norm_difference,relative_l2_error,cosine_similarity,sign_mismatch_ratio,nonzero_difference_ratio,p50_abs_diff,p90_abs_diff,p95_abs_diff,p99_abs_diff,p99_9_abs_diff
42,bn3,"[32, 32, 32, 128]",4194304,-4.121939345402836e-09,-2.7818200434154283e-09,0.9982225939947951,0.9982225965635727,2044.359872501593,2044.3598777623733,1.0000000025733142,2.718708082570981e-07,2.2351741790771484e-07,6.198883056640625e-06,1.3887563924912085e-13,3.726602195688733e-07,0.0007632081296770529,3.733237665143439e-07,0.9999999999997848,0.0,0.9223089218139648,2.2351741790771484e-07,5.960464477539062e-07,7.152557373046875e-07,1.1920928955078125e-06,1.9073486328125e-06
42,relu3,"[32, 32, 32, 128]",4194304,0.3757102825169105,0.3757102828089509,0.5941093831902102,0.5941093867740053,1439.6204382222493,1439.6204447451753,1.000000004531004,1.3650878711286385e-07,0.0,6.198883056640625e-06,6.98081319941169e-14,2.6421228585006584e-07,0.000541106761420935,3.758676555310489e-07,0.9999999999998298,0.0,0.46480464935302734,0.0,4.246830940246582e-07,5.960464477539062e-07,9.5367431640625e-07,1.6689300537109375e-06
42,pool3,"[32, 16, 16, 128]",1048576,0.6602231580869043,0.6602231602255055,0.7700386266222486,0.7700386318833852,1038.668244420408,1038.6682499357435,1.0000000053100069,2.007642079665528e-07,1.1920928955078125e-07,6.198883056640625e-06,1.0749175357337247e-13,3.278593502912071e-07,0.0003357279746981961,3.232292647040724e-07,0.9999999999998941,0.0,0.644343376159668,1.1920928955078125e-07,5.140900611877441e-07,7.152557373046875e-07,1.169741153717041e-06,1.9073486328125e-06
42,conv4,"[32, 16, 16, 256]",2097152,0.05345119889366365,0.05345119729458722,0.719178041331581,0.719178044958259,1044.3535843654092,1044.3535894313172,1.0000000048507593,2.500481888767503e-07,1.9371509552001953e-07,3.6954879760742188e-06,1.0998521926679551e-13,3.316401954932416e-07,0.00048026630378967747,4.598694433091356e-07,0.9999999999997923,0.0,0.9314174652099609,1.9371509552001953e-07,5.364418029785156e-07,6.556510925292969e-07,9.5367431640625e-07,1.4901161193847656e-06
42,bn4,"[32, 16, 16, 256]",2097152,-9.1050017525518e-10,-3.5038446915473635e-09,0.9984100172855305,0.9984100135321822,1445.8521469485465,1445.8521415130945,0.9999999962406584,4.437160626392597e-07,3.5762786865234375e-07,6.4373016357421875e-06,3.4829528797998664e-13,5.901654750830369e-07,0.0008546508993605551,5.911053223279333e-07,0.9999999999997278,4.76837158203125e-07,0.95166015625,3.5762786865234375e-07,9.5367431640625e-07,1.1920928955078125e-06,1.7881393432617188e-06,2.682209014892578e-06
42,relu4,"[32, 16, 16, 256]",2097152,0.38215594508909845,0.38215594196249225,0.5974647376981395,0.5974647349156603,1027.0748373435729,1027.0748315093606,0.9999999943195841,2.2242288716617462e-07,0.0,6.079673767089844e-06,1.7563605752359863e-13,4.1908955787945685e-07,0.0006069065078805218,5.909077759613167e-07,0.999999999999748,4.76837158203125e-07,0.474245548248291,0.0,7.152557373046875e-07,9.5367431640625e-07,1.5497207641601562e-06,2.384185791015625e-06
42,pool4,"[32, 8, 8, 256]",524288,0.7861646689583016,0.7861646653664577,0.775475067523397,0.7754750652144166,799.5782767725526,799.5782737469037,0.9999999962159442,3.628522867952372e-07,2.384185791015625e-07,5.4836273193359375e-06,2.9421706864401825e-13,5.424177989742024e-07,0.0003927524391843226,4.911994867715054e-07,0.9999999999998325,0.0,0.7438011169433594,2.384185791015625e-07,8.940696716308594e-07,1.1920928955078125e-06,1.7285346984863281e-06,2.6226043701171875e-06
42,gap,"[32, 256]",8192,0.7861646692263093,0.7861646654769174,0.26398882595415407,0.2639888231519249,75.06002222569364,75.06002182325369,0.9999999946384248,7.269727575476281e-08,5.960464477539063e-08,4.76837158203125e-07,1.0007540111813158e-14,1.00037693455083e-07,9.054378421292838e-06,1.2062850706422323e-07,0.9999999999999946,0.0,0.6920166015625,5.960464477539063e-08,1.4901161193847656e-07,2.384185791015625e-07,2.384185791015625e-07,3.5762786865234375e-07
42,fc128,"[32, 128]",4096,0.09708069097174743,0.09708069429113841,0.9592996400755239,0.9592996363628722,61.708760838272774,61.70876062326021,0.9999999965156883,1.8122094935790756e-07,1.1920928955078125e-07,1.1920928955078125e-06,5.765029554396676e-14,2.401047595196038e-07,1.536670460925464e-05,2.4901982150521426e-07,0.9999999999999698,0.0,0.888671875,1.1920928955078125e-07,3.5762786865234375e-07,4.76837158203125e-07,7.152557373046875e-07,9.5367431640625e-07
42,dense128_relu,"[32, 128]",4096,0.4290043321817052,0.4290043325968327,0.6097946156692006,0.6097946136971859,47.717319744417075,47.71731965648098,0.9999999981571451,9.866147365755751e-08,0.0,1.1920928955078125e-06,3.2055211695580415e-14,1.7903969307273852e-07,1.1458540356655265e-05,2.4013377989437295e-07,0.999999999999972,0.0,0.46435546875,0.0,2.980232238769531e-07,4.172325134277344e-07,5.960464477539062e-07,9.5367431640625e-07
42,logits,"[32, 8]",256,-0.09756622617715038,-0.09756624206784181,1.1578911935975655,1.15789121449963,18.59191177053933,18.591912125139448,1.0000000190728162,2.0081643015146255e-07,1.7881393432617188e-07,9.5367431640625e-07,7.010060934509177e-14,2.64765196627298e-07,4.236243146036768e-06,2.2785408609524578e-07,0.9999999999999744,0.0,0.84765625,1.7881393432617188e-07,4.76837158203125e-07,4.76837158203125e-07,7.420778274536126e-07,9.156763553619434e-07
