seed,parameter,rank,flat_index,canonical_index,keras_value,pytorch_value,absolute_difference
42,bn2/beta,3,58,[58],-0.000987726030871272,-0.000999627634882927,1.1901604011654854e-05
42,bn2/beta,4,34,[34],0.0009944540215656161,0.0009998250752687454,5.3710537031292915e-06
42,bn2/beta,5,28,[28],0.000994833535514772,0.0009998371824622154,5.003646947443485e-06
42,bn2/beta,6,33,[33],0.0009950291132554412,0.000999840092845261,4.810979589819908e-06
42,bn2/beta,7,18,[18],-0.000995241105556488,-0.000999848241917789,4.607136361300945e-06
42,bn2/beta,8,55,[55],0.0009958654409274459,0.0009998689638450742,4.003522917628288e-06
42,bn2/beta,9,25,[25],-0.0009963874472305179,-0.0009998842142522335,3.496767021715641e-06
42,bn2/beta,10,44,[44],0.0009964397177100182,0.0009998867753893137,3.44705767929554e-06
42,conv3/kernel,1,64061,"[2, 1, 52, 61]",-0.0009144777432084084,0.0009883521124720573,0.0019028298556804657
42,conv3/kernel,2,54458,"[2, 0, 41, 58]",0.0009120441973209381,-0.0009902752935886383,0.0019023194909095764
42,conv3/kernel,3,37658,"[1, 1, 38, 26]",-0.00086946040391922,0.0009898152202367783,0.0018592756241559982
42,conv3/kernel,4,25519,"[1, 0, 7, 47]",-0.0009090879466384649,0.0009397475514560938,0.0018488354980945587
42,conv3/kernel,5,8644,"[0, 1, 3, 68]",-0.0008683279156684875,0.0009801238775253296,0.0018484517931938171
42,conv3/kernel,6,27884,"[1, 0, 25, 108]",-0.0008403696119785309,0.0009925942867994308,0.0018329638987779617
42,conv3/kernel,7,36880,"[1, 1, 32, 16]",0.0008499028626829386,-0.0009746772702783346,0.0018245801329612732
42,conv3/kernel,8,45163,"[1, 2, 32, 107]",-0.0008141081780195236,0.0009865853935480118,0.0018006935715675354
42,conv3/kernel,9,43615,"[1, 2, 20, 95]",-0.0007818751037120819,0.0009956415742635727,0.0017775166779756546
42,conv3/kernel,10,22783,"[0, 2, 49, 127]",0.0008153878152370453,-0.0009592585265636444,0.0017746463418006897
42,bn3/gamma,1,94,[94],-0.0005780458450317383,-0.0009937882423400879,0.0004157423973083496
42,bn3/gamma,2,106,[106],0.0007352828979492188,0.0009921789169311523,0.0002568960189819336
42,bn3/gamma,3,48,[48],-0.0009828805923461914,-0.00099945068359375,1.6570091247558594e-05
42,bn3/gamma,4,124,[124],0.0009881258010864258,0.0009995698928833008,1.1444091796875e-05
42,bn3/gamma,5,97,[97],0.0009884834289550781,0.0009995698928833008,1.1086463928222656e-05
42,bn3/gamma,6,44,[44],0.0009920597076416016,0.0009996891021728516,7.62939453125e-06
42,bn3/gamma,7,63,[63],0.0009921789169311523,0.0009998083114624023,7.62939453125e-06
42,bn3/gamma,8,122,[122],-0.000994265079498291,-0.0009998083114624023,5.543231964111328e-06
